 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           v(vbp)          v(vcn)         
 1.62000000e-07  1.62000000e-07  1.60139198e-07  1.00819193e-06  9.95422363e-07  1.15556063e-06  6.96033804e-01  7.27560310e-01 
 1.63000000e-07  1.63000000e-07  1.61080006e-07  1.00819192e-06  9.95428785e-07  1.15650785e-06  6.96033805e-01  7.27560312e-01 
 1.64000000e-07  1.64000000e-07  1.62020713e-07  1.00819192e-06  9.95435181e-07  1.15745496e-06  6.96033805e-01  7.27560310e-01 
 1.65000000e-07  1.65000000e-07  1.62961339e-07  1.00819191e-06  9.95441530e-07  1.15840194e-06  6.96033805e-01  7.27560311e-01 
 1.66000000e-07  1.66000000e-07  1.63901881e-07  1.00819192e-06  9.95447863e-07  1.15934881e-06  6.96033805e-01  7.27560309e-01 
 1.67000000e-07  1.67000000e-07  1.64842341e-07  1.00819193e-06  9.95454156e-07  1.16029556e-06  6.96033804e-01  7.27560312e-01 
 1.68000000e-07  1.68000000e-07  1.65782714e-07  1.00819192e-06  9.95460397e-07  1.16124218e-06  6.96033805e-01  7.27560309e-01 
 1.69000000e-07  1.69000000e-07  1.66722991e-07  1.00819191e-06  9.95466598e-07  1.16218867e-06  6.96033805e-01  7.27560311e-01 
 1.70000000e-07  1.70000000e-07  1.67663201e-07  1.00819192e-06  9.95472782e-07  1.16313505e-06  6.96033805e-01  7.27560313e-01 
 1.71000000e-07  1.71000000e-07  1.68603307e-07  1.00819191e-06  9.95478906e-07  1.16408129e-06  6.96033806e-01  7.27560309e-01 
 1.72000000e-07  1.72000000e-07  1.69543336e-07  1.00819192e-06  9.95485026e-07  1.16502743e-06  6.96033805e-01  7.27560312e-01 
 1.73000000e-07  1.73000000e-07  1.70483270e-07  1.00819190e-06  9.95491082e-07  1.16597343e-06  6.96033806e-01  7.27560307e-01 
 1.74000000e-07  1.74000000e-07  1.71423116e-07  1.00819192e-06  9.95497137e-07  1.16691933e-06  6.96033804e-01  7.27560313e-01 
 1.75000000e-07  1.75000000e-07  1.72362874e-07  1.00819191e-06  9.95503122e-07  1.16786507e-06  6.96033805e-01  7.27560309e-01 
 1.76000000e-07  1.76000000e-07  1.73302547e-07  1.00819192e-06  9.95509106e-07  1.16881073e-06  6.96033804e-01  7.27560313e-01 
 1.77000000e-07  1.77000000e-07  1.74242112e-07  1.00819192e-06  9.95515036e-07  1.16975623e-06  6.96033805e-01  7.27560310e-01 
 1.78000000e-07  1.78000000e-07  1.75181595e-07  1.00819191e-06  9.95520928e-07  1.17070160e-06  6.96033806e-01  7.27560312e-01 
 1.79000000e-07  1.79000000e-07  1.76120983e-07  1.00819191e-06  9.95526802e-07  1.17164686e-06  6.96033805e-01  7.27560309e-01 
 1.80000000e-07  1.80000000e-07  1.77060288e-07  1.00819192e-06  9.95532645e-07  1.17259201e-06  6.96033805e-01  7.27560313e-01 
 1.81000000e-07  1.81000000e-07  1.77999489e-07  1.00819191e-06  9.95538445e-07  1.17353701e-06  6.96033805e-01  7.27560310e-01 
 1.82000000e-07  1.82000000e-07  1.78938604e-07  1.00819192e-06  9.95544230e-07  1.17448191e-06  6.96033805e-01  7.27560311e-01 
 1.83000000e-07  1.83000000e-07  1.79877615e-07  1.00819191e-06  9.95549959e-07  1.17542666e-06  6.96033805e-01  7.27560311e-01 
 1.84000000e-07  1.84000000e-07  1.80816537e-07  1.00819193e-06  9.95555695e-07  1.17637131e-06  6.96033804e-01  7.27560311e-01 
 1.85000000e-07  1.85000000e-07  1.81755368e-07  1.00819192e-06  9.95561370e-07  1.17731582e-06  6.96033805e-01  7.27560313e-01 
