 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(D0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 1.00000000e+00  1.83994717e-06  7.54463003e-07  3.43609301e-01  1.14302437e+00  1.49772633e-07  2.59442449e-06  2.97916358e-10  2.28010170e-01  2.27788883e-01  1.81128373e-06  7.46729485e-07 
 0.00000000e+00  1.86150858e-06  7.32901450e-07  3.43612505e-01  1.14302531e+00  1.14302530e+00  2.59442435e-06  2.39662096e-10  2.28013303e-01  2.27782406e-01  1.83236100e-06  7.25504007e-07 
 1.00000000e+00  1.88036169e-06  7.14048170e-07  3.43616912e-01  1.14302437e+00  1.49772631e-07  2.59442420e-06  2.97912806e-10  2.28016012e-01  2.27776627e-01  1.85078882e-06  7.06941501e-07 
 0.00000000e+00  1.90146188e-06  6.92947881e-07  3.43620993e-01  1.14302437e+00  1.14302437e+00  2.59442410e-06  2.97919911e-10  2.28019026e-01  2.27770036e-01  1.87141080e-06  6.86163025e-07 
 1.00000000e+00  1.92142530e-06  6.72984265e-07  3.43625745e-01  1.14302344e+00  1.49768858e-07  2.59442390e-06  3.56152441e-10  2.28021841e-01  2.27763662e-01  1.89091972e-06  6.66500458e-07 
 0.00000000e+00  1.94476782e-06  6.49641647e-07  3.43628146e-01  1.14302718e+00  1.14302718e+00  2.59442377e-06  1.23100492e-10  2.28025109e-01  2.27756042e-01  1.91372820e-06  6.43505498e-07 
 1.00000000e+00  1.96243202e-06  6.31977233e-07  3.43633148e-01  1.14302624e+00  1.49780187e-07  2.59442357e-06  1.81379552e-10  2.28027557e-01  2.27750148e-01  1.93098630e-06  6.26100922e-07 
 0.00000000e+00  1.98263647e-06  6.11772585e-07  3.43637842e-01  1.14302624e+00  1.14302624e+00  2.59442339e-06  1.81378676e-10  2.28030334e-01  2.27743268e-01  1.95072443e-06  6.06189994e-07 
 1.00000000e+00  2.00145415e-06  5.92954779e-07  3.43643223e-01  1.14302531e+00  1.49776413e-07  2.59442325e-06  2.39641196e-10  2.28032901e-01  2.27736718e-01  1.96910585e-06  5.87642441e-07 
 0.00000000e+00  2.02307904e-06  5.71329647e-07  3.43647750e-01  1.14302624e+00  1.14302624e+00  2.59442300e-06  1.81371015e-10  2.28035824e-01  2.27729020e-01  1.99022722e-06  5.66323724e-07 
 1.00000000e+00  2.04107998e-06  5.53328534e-07  3.43653431e-01  1.14302531e+00  1.49776411e-07  2.59442283e-06  2.39644748e-10  2.28038236e-01  2.27722461e-01  2.00780719e-06  5.48574333e-07 
 0.00000000e+00  2.06201309e-06  5.32395204e-07  3.43658858e-01  1.14302531e+00  1.14302530e+00  2.59442262e-06  2.39650848e-10  2.28041020e-01  2.27714656e-01  2.02824870e-06  5.27929663e-07 
 1.00000000e+00  2.08142150e-06  5.12986470e-07  3.43664951e-01  1.14302437e+00  1.49772627e-07  2.59442230e-06  2.97909253e-10  2.28043574e-01  2.27707237e-01  2.04719934e-06  5.08784767e-07 
 0.00000000e+00  2.10410396e-06  4.90303916e-07  3.43669726e-01  1.14302625e+00  1.14302624e+00  2.59442220e-06  1.81366861e-10  2.28046540e-01  2.27698342e-01  2.06934441e-06  4.86405625e-07 
 1.00000000e+00  2.12142736e-06  4.72980365e-07  3.43676093e-01  1.14302531e+00  1.49776416e-07  2.59442206e-06  2.39651854e-10  2.28048783e-01  2.27691367e-01  2.08625563e-06  4.69310271e-07 
 0.00000000e+00  2.14204833e-06  4.52359164e-07  3.43682262e-01  1.14302531e+00  1.14302530e+00  2.59442182e-06  2.39643815e-10  2.28051432e-01  2.27682860e-01  2.10638396e-06  4.48956468e-07 
 1.00000000e+00  2.16092299e-06  4.33484253e-07  3.43689106e-01  1.14302437e+00  1.49772637e-07  2.59442156e-06  2.97916431e-10  2.28053842e-01  2.27674865e-01  2.12480584e-06  4.30322228e-07 
 0.00000000e+00  2.18340427e-06  4.11002617e-07  3.43695231e-01  1.14302531e+00  1.14302530e+00  2.59442122e-06  2.39649356e-10  2.28056684e-01  2.27665064e-01  2.14674552e-06  4.08122093e-07 
 1.00000000e+00  2.20129790e-06  3.93108728e-07  3.43702419e-01  1.14302437e+00  1.49772630e-07  2.59442095e-06  2.97916358e-10  2.28058928e-01  2.27657037e-01  2.16420622e-06  3.90448120e-07 
 0.00000000e+00  2.22294948e-06  3.71456837e-07  3.43709509e-01  1.14302437e+00  1.14302437e+00  2.59442065e-06  2.97905700e-10  2.28061624e-01  2.27647038e-01  2.18533185e-06  3.69057306e-07 
 1.00000000e+00  2.24269322e-06  3.51712864e-07  3.43717269e-01  1.14302344e+00  1.49768856e-07  2.59442041e-06  3.56141783e-10  2.28064062e-01  2.27637635e-01  2.20459392e-06  3.49546340e-07 
 0.00000000e+00  2.26676189e-06  3.27643945e-07  3.43723398e-01  1.14302625e+00  1.14302624e+00  2.59442016e-06  1.81362276e-10  2.28067008e-01  2.27625772e-01  2.22807275e-06  3.25754998e-07 
 1.00000000e+00  2.28312627e-06  3.11279332e-07  3.43731371e-01  1.14302531e+00  1.49776414e-07  2.59441992e-06  2.39658959e-10  2.28068995e-01  2.27617440e-01  2.24403450e-06  3.09574926e-07 
 0.00000000e+00  2.30365248e-06  2.90752828e-07  3.43739350e-01  1.14302531e+00  1.14302530e+00  2.59441962e-06  2.39634090e-10  2.28071472e-01  2.27606667e-01  2.26405376e-06  2.89274734e-07 
 1.00000000e+00  2.32196345e-06  2.72441520e-07  3.43747967e-01  1.14302437e+00  1.49772637e-07  2.59441932e-06  2.97895042e-10  2.28073666e-01  2.27596730e-01  2.28191067e-06  2.71160598e-07 
