 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  1.53212452e-06  1.21825143e-06  3.72710186e-01  1.14493566e+00  1.14493565e+00  2.75039097e-06  2.01083594e-10  2.39104576e-01  2.37890173e-01  1.53929766e-06  1.18096656e-06 
 1.00000000e+00  1.54400765e-06  1.20636744e-06  3.72730912e-01  1.14493429e+00  2.04981972e-07  2.75039012e-06  2.86134640e-10  2.39106606e-01  2.37887700e-01  1.55112158e-06  1.16947313e-06 
 0.00000000e+00  1.56703472e-06  1.18333959e-06  3.72750400e-01  1.14493483e+00  1.14493482e+00  2.75038934e-06  2.53013610e-10  2.39110511e-01  2.37882856e-01  1.57403161e-06  1.14719972e-06 
 1.00000000e+00  1.58436833e-06  1.16600515e-06  3.72771505e-01  1.14493346e+00  2.04977622e-07  2.75038852e-06  3.37995076e-10  2.39113415e-01  2.37879160e-01  1.59127513e-06  1.13043110e-06 
 0.00000000e+00  1.61301126e-06  1.13736144e-06  3.72790311e-01  1.14493483e+00  1.14493482e+00  2.75038774e-06  2.52630696e-10  2.39118163e-01  2.37872955e-01  1.61976541e-06  1.10271852e-06 
 1.00000000e+00  1.62746538e-06  1.12290647e-06  3.72811663e-01  1.14493347e+00  2.04977649e-07  2.75038688e-06  3.37646355e-10  2.39120527e-01  2.37869779e-01  1.63414084e-06  1.08873151e-06 
 0.00000000e+00  1.65338696e-06  1.09698406e-06  3.72831852e-01  1.14493400e+00  1.14493399e+00  2.75038605e-06  3.04503089e-10  2.39124734e-01  2.37863998e-01  1.65991818e-06  1.06364522e-06 
 1.00000000e+00  1.67348873e-06  1.07688139e-06  3.72853633e-01  1.14493264e+00  2.04973291e-07  2.75038515e-06  3.89536110e-10  2.39127951e-01  2.37859438e-01  1.67990559e-06  1.04418813e-06 
 0.00000000e+00  1.70484641e-06  1.04552351e-06  3.72859244e-01  1.14493594e+00  1.14493593e+00  2.75038496e-06  1.83550952e-10  2.39132914e-01  2.37852194e-01  1.71108026e-06  1.01383224e-06 
 1.00000000e+00  1.71548713e-06  1.03488193e-06  3.72881111e-01  1.14493458e+00  2.04983447e-07  2.75038409e-06  2.68581601e-10  2.39134578e-01  2.37849697e-01  1.72165766e-06  1.00352930e-06 
 0.00000000e+00  1.73786222e-06  1.01250596e-06  3.72901857e-01  1.14493511e+00  1.14493510e+00  2.75038320e-06  2.35436208e-10  2.39138050e-01  2.37844382e-01  1.74389756e-06  9.81862943e-07 
