 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           v(Vbp)          v(Vcn)         
 1.61000000e-07  1.61000000e-07  1.15985388e-06  1.00819193e-06  0.00000000e+00  1.15954657e-06  6.96033804e-01  7.27560313e-01 
 1.62000000e-07  1.62000000e-07  1.16081387e-06  1.00819190e-06  3.55271368e-15  1.16050628e-06  6.96033806e-01  7.27560311e-01 
 1.63000000e-07  1.63000000e-07  1.16177380e-06  1.00819191e-06  3.55271368e-15  1.16146592e-06  6.96033805e-01  7.27560310e-01 
 1.64000000e-07  1.64000000e-07  1.16273358e-06  1.00819190e-06  7.10542736e-15  1.16242543e-06  6.96033806e-01  7.27560311e-01 
 1.65000000e-07  1.65000000e-07  1.16369331e-06  1.00819193e-06  0.00000000e+00  1.16338488e-06  6.96033804e-01  7.27560311e-01 
 1.66000000e-07  1.66000000e-07  1.16465287e-06  1.00819190e-06  7.10542736e-15  1.16434416e-06  6.96033806e-01  7.27560312e-01 
 1.67000000e-07  1.67000000e-07  1.16561239e-06  1.00819193e-06  3.55271368e-15  1.16530339e-06  6.96033804e-01  7.27560311e-01 
 1.68000000e-07  1.68000000e-07  1.16657174e-06  1.00819191e-06  0.00000000e+00  1.16626247e-06  6.96033806e-01  7.27560310e-01 
 1.69000000e-07  1.69000000e-07  1.16753100e-06  1.00819191e-06  0.00000000e+00  1.16722145e-06  6.96033806e-01  7.27560308e-01 
 1.70000000e-07  1.70000000e-07  1.16849019e-06  1.00819193e-06  3.55271368e-15  1.16818036e-06  6.96033804e-01  7.27560313e-01 
 1.71000000e-07  1.71000000e-07  1.16944921e-06  1.00819190e-06  7.10542736e-15  1.16913910e-06  6.96033806e-01  7.27560312e-01 
 1.72000000e-07  1.72000000e-07  1.17040818e-06  1.00819192e-06  3.55271368e-15  1.17009779e-06  6.96033805e-01  7.27560311e-01 
 1.73000000e-07  1.73000000e-07  1.17136701e-06  1.00819192e-06  3.55271368e-15  1.17105634e-06  6.96033805e-01  7.27560310e-01 
 1.74000000e-07  1.74000000e-07  1.17232575e-06  1.00819192e-06  0.00000000e+00  1.17201480e-06  6.96033805e-01  7.27560312e-01 
 1.75000000e-07  1.75000000e-07  1.17328437e-06  1.00819192e-06  3.55271368e-15  1.17297314e-06  6.96033804e-01  7.27560311e-01 
 1.76000000e-07  1.76000000e-07  1.17424289e-06  1.00819193e-06  7.10542736e-15  1.17393138e-06  6.96033804e-01  7.27560312e-01 
 1.77000000e-07  1.77000000e-07  1.17520129e-06  1.00819192e-06  0.00000000e+00  1.17488950e-06  6.96033804e-01  7.27560311e-01 
 1.78000000e-07  1.78000000e-07  1.17615959e-06  1.00819192e-06  3.55271368e-15  1.17584751e-06  6.96033805e-01  7.27560312e-01 
 1.79000000e-07  1.79000000e-07  1.17711777e-06  1.00819192e-06  3.55271368e-15  1.17680542e-06  6.96033805e-01  7.27560313e-01 
 1.80000000e-07  1.80000000e-07  1.17807585e-06  1.00819191e-06  3.55271368e-15  1.17776322e-06  6.96033805e-01  7.27560310e-01 
 1.81000000e-07  1.81000000e-07  1.17903383e-06  1.00819193e-06  7.10542736e-15  1.17872092e-06  6.96033804e-01  7.27560312e-01 
 1.82000000e-07  1.82000000e-07  1.17999168e-06  1.00819192e-06  7.10542736e-15  1.17967849e-06  6.96033805e-01  7.27560309e-01 
 1.83000000e-07  1.83000000e-07  1.18094944e-06  1.00819193e-06  7.10542736e-15  1.18063597e-06  6.96033804e-01  7.27560314e-01 
 1.84000000e-07  1.84000000e-07  1.18190708e-06  1.00819191e-06  3.55271368e-15  1.18159332e-06  6.96033805e-01  7.27560310e-01 
 1.85000000e-07  1.85000000e-07  1.18286460e-06  1.00819191e-06  0.00000000e+00  1.18255057e-06  6.96033805e-01  7.27560313e-01 
