 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 5.80000000e-02  2.56715247e-06  2.65707502e-08  3.61713362e-01  1.14302924e+00  2.09654219e-09  2.59373816e-06 -4.93198323e-12  2.37871674e-01  2.37173434e-01  2.10877248e-06 -1.35325924e-08 
 5.90000000e-02  2.56715244e-06  2.65707468e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.92720165e-12  2.37871673e-01  2.37173434e-01  2.12252300e-06 -1.24524235e-08 
 6.00000000e-02  2.56715244e-06  2.65707127e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373809e-06 -4.92975771e-12  2.37871670e-01  2.37173433e-01  2.13572572e-06 -1.14210683e-08 
 6.10000000e-02  2.56715241e-06  2.65707447e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.92762975e-12  2.37871671e-01  2.37173433e-01  2.14840132e-06 -1.04357492e-08 
 6.20000000e-02  2.56715240e-06  2.65707258e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.93123657e-12  2.37871671e-01  2.37173433e-01  2.16057006e-06 -9.49407131e-09 
 6.30000000e-02  2.56715250e-06  2.65707268e-08  3.61713359e-01  1.14302924e+00  2.09654219e-09  2.59373817e-06 -4.94010274e-12  2.37871672e-01  2.37173434e-01  2.17225190e-06 -8.59358940e-09 
 6.40000000e-02  2.56715248e-06  2.65707126e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.92619491e-12  2.37871670e-01  2.37173434e-01  2.18346600e-06 -7.73208120e-09 
 6.50000000e-02  2.56715243e-06  2.65707399e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.93081381e-12  2.37871670e-01  2.37173432e-01  2.19423116e-06 -6.90733959e-09 
 6.60000000e-02  2.56715243e-06  2.65707302e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93517682e-12  2.37871670e-01  2.37173432e-01  2.20456585e-06 -6.11750339e-09 
 6.70000000e-02  2.56715254e-06  2.65707150e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373819e-06 -4.93108587e-12  2.37871670e-01  2.37173435e-01  2.21448790e-06 -5.36057954e-09 
 6.80000000e-02  2.56715245e-06  2.65707264e-08  3.61713350e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.93164164e-12  2.37871669e-01  2.37173432e-01  2.22401425e-06 -4.63473149e-09 
 6.90000000e-02  2.56715240e-06  2.65707357e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.93084397e-12  2.37871671e-01  2.37173433e-01  2.23316179e-06 -3.93839139e-09 
 7.00000000e-02  2.56715242e-06  2.65707194e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.92474861e-12  2.37871671e-01  2.37173434e-01  2.24194677e-06 -3.26995231e-09 
 7.10000000e-02  2.56715239e-06  2.65707628e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.93443332e-12  2.37871670e-01  2.37173432e-01  2.25038461e-06 -2.62776068e-09 
 7.20000000e-02  2.56715250e-06  2.65707100e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373815e-06 -4.92822869e-12  2.37871672e-01  2.37173437e-01  2.25849054e-06 -2.01074335e-09 
 7.30000000e-02  2.56715246e-06  2.65707420e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.93733942e-12  2.37871671e-01  2.37173432e-01  2.26627877e-06 -1.41719880e-09 
 7.40000000e-02  2.56715244e-06  2.65707091e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.91313974e-12  2.37871671e-01  2.37173435e-01  2.27376344e-06 -8.46179793e-10 
 7.50000000e-02  2.56715246e-06  2.65707400e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.92060648e-12  2.37871672e-01  2.37173434e-01  2.28095791e-06 -2.96229041e-10 
 7.60000000e-02  2.56715246e-06  2.65707324e-08  3.61713354e-01  1.14302924e+00  2.09654219e-09  2.59373812e-06 -4.94603520e-12  2.37871671e-01  2.37173434e-01  2.28787506e-06  2.33516539e-10 
 7.70000000e-02  2.56715244e-06  2.65707515e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93389365e-12  2.37871673e-01  2.37173435e-01  2.29452720e-06  7.44248219e-10 
 7.80000000e-02  2.56715241e-06  2.65707304e-08  3.61713354e-01  1.14302924e+00  2.09654219e-09  2.59373809e-06 -4.93497517e-12  2.37871672e-01  2.37173434e-01  2.30092620e-06  1.23683619e-09 
 7.90000000e-02  2.56715243e-06  2.65707446e-08  3.61713354e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.92496241e-12  2.37871671e-01  2.37173434e-01  2.30708342e-06  1.71233094e-09 
 8.00000000e-02  2.56715244e-06  2.65707091e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.93854727e-12  2.37871672e-01  2.37173435e-01  2.31300972e-06  2.17144658e-09 
 8.10000000e-02  2.56715237e-06  2.65707254e-08  3.61713350e-01  1.14302924e+00  2.09654219e-09  2.59373805e-06 -4.93583848e-12  2.37871671e-01  2.37173433e-01  2.31871537e-06  2.61523225e-09 
 8.20000000e-02  2.56715246e-06  2.65707257e-08  3.61713354e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.93038573e-12  2.37871671e-01  2.37173434e-01  2.32421054e-06  3.04425463e-09 
 8.30000000e-02  2.56715243e-06  2.65707393e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93355813e-12  2.37871670e-01  2.37173432e-01  2.32950442e-06  3.45941054e-09 
 8.40000000e-02  2.56715245e-06  2.65707449e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373812e-06 -4.91970756e-12  2.37871671e-01  2.37173433e-01  2.33460632e-06  3.86123222e-09 
 8.50000000e-02  2.56715248e-06  2.65707242e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.93018264e-12  2.37871671e-01  2.37173434e-01  2.33952471e-06  4.25042690e-09 
 8.60000000e-02  2.56715242e-06  2.65707215e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373809e-06 -4.93764331e-12  2.37871673e-01  2.37173436e-01  2.34426780e-06  4.62764072e-09 
 8.70000000e-02  2.56715248e-06  2.65707177e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.93131546e-12  2.37871669e-01  2.37173433e-01  2.34884368e-06  4.99345076e-09 
 8.80000000e-02  2.56715244e-06  2.65707364e-08  3.61713350e-01  1.14302924e+00  2.09654219e-09  2.59373809e-06 -4.93144220e-12  2.37871669e-01  2.37173433e-01  2.35325958e-06  5.34840106e-09 
 8.90000000e-02  2.56715248e-06  2.65706906e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373812e-06 -4.92776727e-12  2.37871670e-01  2.37173436e-01  2.35752278e-06  5.69289216e-09 
 9.00000000e-02  2.56715244e-06  2.65707274e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.92848331e-12  2.37871670e-01  2.37173434e-01  2.36164001e-06  6.02765482e-09 
 9.10000000e-02  2.56715247e-06  2.65707104e-08  3.61713354e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.93895466e-12  2.37871670e-01  2.37173434e-01  2.36561781e-06  6.35291464e-09 
 9.20000000e-02  2.56715245e-06  2.65707277e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373812e-06 -4.92310082e-12  2.37871671e-01  2.37173434e-01  2.36946227e-06  6.66923827e-09 
 9.30000000e-02  2.56715243e-06  2.65707523e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373812e-06 -4.92672023e-12  2.37871673e-01  2.37173433e-01  2.37317927e-06  6.97701341e-09 
 9.40000000e-02  2.56715252e-06  2.65707021e-08  3.61713354e-01  1.14302924e+00  2.09654219e-09  2.59373818e-06 -4.93161703e-12  2.37871669e-01  2.37173433e-01  2.37677455e-06  7.27651295e-09 
 9.50000000e-02  2.56715247e-06  2.65707757e-08  3.61713359e-01  1.14302924e+00  2.09654219e-09  2.59373816e-06 -4.92932907e-12  2.37871672e-01  2.37173432e-01  2.38025307e-06  7.56838325e-09 
 9.60000000e-02  2.56715243e-06  2.65707398e-08  3.61713359e-01  1.14302924e+00  2.09654219e-09  2.59373812e-06 -4.93061070e-12  2.37871673e-01  2.37173434e-01  2.38362016e-06  7.85259258e-09 
 9.70000000e-02  2.56715246e-06  2.65707607e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.93322695e-12  2.37871671e-01  2.37173433e-01  2.38688064e-06  8.12982925e-09 
 9.80000000e-02  2.56715246e-06  2.65707276e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.94774322e-12  2.37871671e-01  2.37173434e-01  2.39003895e-06  8.40010372e-09 
