 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  1.57971312e-06  1.01402246e-06  3.61387124e-01  1.14302531e+00  1.14302530e+00  2.59375051e-06  2.39634645e-10  2.37737860e-01  2.37624126e-01  1.55271512e-06  9.99084399e-07 
 1.00000000e+00  1.59963806e-06  9.94097369e-07  3.61389878e-01  1.14302437e+00  1.49772629e-07  2.59375036e-06  2.97912806e-10  2.37741204e-01  2.37619254e-01  1.57218224e-06  9.79548490e-07 
 0.00000000e+00  1.62097072e-06  9.72764751e-07  3.61390097e-01  1.14302718e+00  1.14302718e+00  2.59375040e-06  1.23117390e-10  2.37744746e-01  2.37613965e-01  1.59302238e-06  9.58629503e-07 
 1.00000000e+00  1.63991724e-06  9.53818110e-07  3.61393129e-01  1.14302624e+00  1.49780188e-07  2.59375027e-06  1.81387350e-10  2.37747855e-01  2.37609178e-01  1.61152953e-06  9.40047668e-07 
 0.00000000e+00  1.66006275e-06  9.33672593e-07  3.61395658e-01  1.14302625e+00  1.14302624e+00  2.59375027e-06  1.81373139e-10  2.37751130e-01  2.37604019e-01  1.63120569e-06  9.20287293e-07 
 1.00000000e+00  1.67951406e-06  9.14221060e-07  3.61398999e-01  1.14302531e+00  1.49776411e-07  2.59375006e-06  2.39635003e-10  2.37754261e-01  2.37598951e-01  1.65020182e-06  9.01204952e-07 
 0.00000000e+00  1.70039954e-06  8.93335596e-07  3.61401156e-01  1.14302625e+00  1.14302624e+00  2.59375006e-06  1.81383797e-10  2.37757588e-01  2.37593417e-01  1.67059637e-06  8.80712983e-07 
 1.00000000e+00  1.71940918e-06  8.74325770e-07  3.61404797e-01  1.14302531e+00  1.49776414e-07  2.59374989e-06  2.39651854e-10  2.37760589e-01  2.37588292e-01  1.68915716e-06  8.62058529e-07 
 0.00000000e+00  1.73995545e-06  8.53779298e-07  3.61407926e-01  1.14302531e+00  1.14302530e+00  2.59374969e-06  2.39630538e-10  2.37763793e-01  2.37582657e-01  1.70921629e-06  8.41893286e-07 
 1.00000000e+00  1.75969250e-06  8.34042086e-07  3.61411889e-01  1.14302437e+00  1.49772630e-07  2.59374953e-06  2.97929598e-10  2.37766842e-01  2.37577150e-01  1.72848328e-06  8.22519338e-07 
 0.00000000e+00  1.78126148e-06  8.12473109e-07  3.61414023e-01  1.14302625e+00  1.14302624e+00  2.59374953e-06  1.81376691e-10  2.37770149e-01  2.37571021e-01  1.74953625e-06  8.01344017e-07 
 1.00000000e+00  1.79984954e-06  7.93884877e-07  3.61418265e-01  1.14302531e+00  1.49776413e-07  2.59374935e-06  2.39652791e-10  2.37772964e-01  2.37565633e-01  1.76767771e-06  7.83092286e-07 
 0.00000000e+00  1.82027192e-06  7.73462365e-07  3.61422045e-01  1.14302531e+00  1.14302530e+00  2.59374923e-06  2.39630333e-10  2.37776034e-01  2.37559607e-01  1.78760736e-06  7.63036329e-07 
 1.00000000e+00  1.83970587e-06  7.54028213e-07  3.61426638e-01  1.14302437e+00  1.49772634e-07  2.59374902e-06  2.97905700e-10  2.37778923e-01  2.37553767e-01  1.80657053e-06  7.43947956e-07 
 0.00000000e+00  1.86122740e-06  7.32506611e-07  3.61430101e-01  1.14302531e+00  1.14302530e+00  2.59374893e-06  2.39643444e-10  2.37782096e-01  2.37547169e-01  1.82756839e-06  7.22805950e-07 
 1.00000000e+00  1.88009385e-06  7.13639899e-07  3.61434994e-01  1.14302437e+00  1.49772629e-07  2.59374866e-06  2.97912806e-10  2.37784843e-01  2.37541264e-01  1.84597388e-06  7.04268899e-07 
 0.00000000e+00  1.90116175e-06  6.92571797e-07  3.61439468e-01  1.14302437e+00  1.14302437e+00  2.59374849e-06  2.97912806e-10  2.37787892e-01  2.37534540e-01  1.86652484e-06  6.83565373e-07 
 1.00000000e+00  1.92111572e-06  6.72617717e-07  3.61444761e-01  1.14302344e+00  1.49768859e-07  2.59374837e-06  3.56166371e-10  2.37790750e-01  2.37528034e-01  1.88598722e-06  6.63953253e-07 
 0.00000000e+00  1.94453541e-06  6.49197929e-07  3.61447190e-01  1.14302718e+00  1.14302718e+00  2.59374824e-06  1.23095781e-10  2.37794073e-01  2.37520222e-01  1.90882734e-06  6.40930534e-07 
 1.00000000e+00  1.96223660e-06  6.31496486e-07  3.61452765e-01  1.14302625e+00  1.49780189e-07  2.59374802e-06  1.81380244e-10  2.37796569e-01  2.37514186e-01  1.92608858e-06  6.23525992e-07 
 0.00000000e+00  1.98242731e-06  6.11305612e-07  3.61457918e-01  1.14302625e+00  1.14302624e+00  2.59374786e-06  1.81380244e-10  2.37799378e-01  2.37507157e-01  1.94577570e-06  6.03670467e-07 
 1.00000000e+00  2.00125833e-06  5.92474288e-07  3.61463888e-01  1.14302531e+00  1.49776408e-07  2.59374755e-06  2.39637643e-10  2.37801982e-01  2.37500458e-01  1.96413509e-06  5.85148603e-07 
 0.00000000e+00  2.02284263e-06  5.70889928e-07  3.61468812e-01  1.14302625e+00  1.14302624e+00  2.59374748e-06  1.81380244e-10  2.37804939e-01  2.37492594e-01  1.98517668e-06  5.63914966e-07 
 1.00000000e+00  2.04087296e-06  5.52859287e-07  3.61475121e-01  1.14302531e+00  1.49776412e-07  2.59374719e-06  2.39639260e-10  2.37807391e-01  2.37485877e-01  2.00275187e-06  5.46173920e-07 
 0.00000000e+00  2.06177757e-06  5.31954413e-07  3.61481083e-01  1.14302531e+00  1.14302530e+00  2.59374693e-06  2.39639978e-10  2.37810208e-01  2.37477899e-01  2.02312683e-06  5.25600949e-07 
 1.00000000e+00  2.08118708e-06  5.12544649e-07  3.61487849e-01  1.14302437e+00  1.49772632e-07  2.59374667e-06  2.97918280e-10  2.37812799e-01  2.37470300e-01  2.04204259e-06  5.06495660e-07 
 0.00000000e+00  2.10381498e-06  4.89916623e-07  3.61492980e-01  1.14302625e+00  1.14302624e+00  2.59374653e-06  1.81377936e-10  2.37815798e-01  2.37461214e-01  2.06409250e-06  4.84217678e-07 
 1.00000000e+00  2.12118031e-06  4.72551033e-07  3.61500050e-01  1.14302531e+00  1.49776417e-07  2.59374627e-06  2.39643468e-10  2.37818081e-01  2.37454055e-01  2.08101251e-06  4.67117269e-07 
 0.00000000e+00  2.14177889e-06  4.51952102e-07  3.61506826e-01  1.14302531e+00  1.14302530e+00  2.59374592e-06  2.39650753e-10  2.37820760e-01  2.37445346e-01  2.10108108e-06  4.46828718e-07 
 1.00000000e+00  2.16066451e-06  4.33066224e-07  3.61514414e-01  1.14302437e+00  1.49772632e-07  2.59374565e-06  2.97922430e-10  2.37823202e-01  2.37437143e-01  2.11947880e-06  4.28223492e-07 
 0.00000000e+00  2.18308918e-06  4.10641286e-07  3.61521098e-01  1.14302531e+00  1.14302530e+00  2.59374539e-06  2.39634090e-10  2.37826077e-01  2.37427116e-01  2.14132196e-06  4.06126683e-07 
 1.00000000e+00  2.20101247e-06  3.92717800e-07  3.61529078e-01  1.14302437e+00  1.49772637e-07  2.59374518e-06  2.97919911e-10  2.37828355e-01  2.37418869e-01  2.15877864e-06  3.88461403e-07 
 0.00000000e+00  2.22262181e-06  3.71108020e-07  3.61536872e-01  1.14302437e+00  1.14302437e+00  2.59374476e-06  2.97916358e-10  2.37831082e-01  2.37408626e-01  2.17982337e-06  3.67157970e-07 
 1.00000000e+00  2.24235931e-06  3.51370252e-07  3.61545473e-01  1.14302344e+00  1.49768856e-07  2.59374449e-06  3.56161524e-10  2.37833552e-01  2.37398974e-01  2.19904315e-06  3.47695115e-07 
 0.00000000e+00  2.26637640e-06  3.27352913e-07  3.61552055e-01  1.14302624e+00  1.14302624e+00  2.59374423e-06  1.81380244e-10  2.37836533e-01  2.37386808e-01  2.22242767e-06  3.24005994e-07 
 1.00000000e+00  2.28279791e-06  3.10931037e-07  3.61560904e-01  1.14302531e+00  1.49776409e-07  2.59374388e-06  2.39653570e-10  2.37838554e-01  2.37378211e-01  2.23841500e-06  3.07804292e-07 
 0.00000000e+00  2.30330348e-06  2.90425175e-07  3.61569687e-01  1.14302531e+00  1.14302530e+00  2.59374361e-06  2.39642927e-10  2.37841058e-01  2.37367141e-01  2.25837668e-06  2.87568435e-07 
 1.00000000e+00  2.32163391e-06  2.72094373e-07  3.61579249e-01  1.14302437e+00  1.49772632e-07  2.59374320e-06  2.97919911e-10  2.37843286e-01  2.37356910e-01  2.27621914e-06  2.69474178e-07 
 0.00000000e+00  2.34439929e-06  2.49328654e-07  3.61588169e-01  1.14302531e+00  1.14302530e+00  2.59374288e-06  2.39663227e-10  2.37846028e-01  2.37343717e-01  2.29837619e-06  2.46995754e-07 
 1.00000000e+00  2.36149014e-06  2.32237426e-07  3.61598190e-01  1.14302437e+00  1.49772634e-07  2.59374251e-06  2.97912806e-10  2.37848067e-01  2.37333441e-01  2.31500867e-06  2.30115395e-07 
 0.00000000e+00  2.38319180e-06  2.10535408e-07  3.61608338e-01  1.14302437e+00  1.14302437e+00  2.59374213e-06  2.97919911e-10  2.37850639e-01  2.37319886e-01  2.33612634e-06  2.08674832e-07 
 1.00000000e+00  2.40252667e-06  1.91200125e-07  3.61619260e-01  1.14302344e+00  1.49768858e-07  2.59374171e-06  3.56158974e-10  2.37852916e-01  2.37307306e-01  2.35493889e-06  1.89566384e-07 
 0.00000000e+00  2.42696292e-06  1.66763515e-07  3.61629137e-01  1.14302531e+00  1.14302530e+00  2.59374136e-06  2.39647191e-10  2.37855767e-01  2.37290655e-01  2.37871248e-06  1.65407823e-07 
 1.00000000e+00  2.44307794e-06  1.50647969e-07  3.61640400e-01  1.14302437e+00  1.49772630e-07  2.59374085e-06  2.97903244e-10  2.37857641e-01  2.37279178e-01  2.39438883e-06  1.49470214e-07 
 0.00000000e+00  2.46434729e-06  1.29378167e-07  3.61652033e-01  1.14302437e+00  1.14302437e+00  2.59374040e-06  2.97925701e-10  2.37860090e-01  2.37263363e-01  2.41507732e-06  1.28428349e-07 
