 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           i(vout1)        v(vbp)          v(vcn)         
 1.15000000e-07  1.15000000e-07  1.15844399e-07  1.00819192e-06  9.95065442e-07  1.11090889e-06  1.17894668e-07  6.96033805e-01  7.27560310e-01 
 1.16000000e-07  1.16000000e-07  1.16788039e-07  1.00819190e-06  9.95074412e-07  1.11186150e-06  1.18851712e-07  6.96033806e-01  7.27560309e-01 
 1.17000000e-07  1.17000000e-07  1.17731650e-07  1.00819193e-06  9.95083340e-07  1.11281404e-06  1.19808693e-07  6.96033804e-01  7.27560312e-01 
 1.18000000e-07  1.18000000e-07  1.18675224e-07  1.00819192e-06  9.95092162e-07  1.11376643e-06  1.20765615e-07  6.96033805e-01  7.27560308e-01 
 1.19000000e-07  1.19000000e-07  1.19618768e-07  1.00819192e-06  9.95100919e-07  1.11471873e-06  1.21722475e-07  6.96033805e-01  7.27560311e-01 
 1.20000000e-07  1.20000000e-07  1.20562268e-07  1.00819190e-06  9.95109593e-07  1.11567091e-06  1.22679265e-07  6.96033806e-01  7.27560309e-01 
 1.21000000e-07  1.21000000e-07  1.21505733e-07  1.00819191e-06  9.95118214e-07  1.11662300e-06  1.23635996e-07  6.96033805e-01  7.27560309e-01 
 1.22000000e-07  1.22000000e-07  1.22449155e-07  1.00819191e-06  9.95126770e-07  1.11757497e-06  1.24592651e-07  6.96033805e-01  7.27560312e-01 
 1.23000000e-07  1.23000000e-07  1.23392535e-07  1.00819191e-06  9.95135252e-07  1.11852684e-06  1.25549245e-07  6.96033805e-01  7.27560311e-01 
 1.24000000e-07  1.24000000e-07  1.24335868e-07  1.00819190e-06  9.95143656e-07  1.11947858e-06  1.26505755e-07  6.96033806e-01  7.27560311e-01 
 1.25000000e-07  1.25000000e-07  1.25279158e-07  1.00819191e-06  9.95152018e-07  1.12043023e-06  1.27462208e-07  6.96033805e-01  7.27560310e-01 
 1.26000000e-07  1.26000000e-07  1.26222414e-07  1.00819191e-06  9.95160297e-07  1.12138176e-06  1.28418591e-07  6.96033805e-01  7.27560309e-01 
 1.27000000e-07  1.27000000e-07  1.27165606e-07  1.00819192e-06  9.95168524e-07  1.12233319e-06  1.29374891e-07  6.96033805e-01  7.27560311e-01 
 1.28000000e-07  1.28000000e-07  1.28108757e-07  1.00819192e-06  9.95176681e-07  1.12328450e-06  1.30331122e-07  6.96033805e-01  7.27560312e-01 
 1.29000000e-07  1.29000000e-07  1.29051868e-07  1.00819193e-06  9.95184781e-07  1.12423570e-06  1.31287280e-07  6.96033804e-01  7.27560311e-01 
 1.30000000e-07  1.30000000e-07  1.29994916e-07  1.00819191e-06  9.95192801e-07  1.12518678e-06  1.32243362e-07  6.96033805e-01  7.27560313e-01 
 1.31000000e-07  1.31000000e-07  1.30937915e-07  1.00819192e-06  9.95200784e-07  1.12613776e-06  1.33199364e-07  6.96033805e-01  7.27560311e-01 
 1.32000000e-07  1.32000000e-07  1.31880860e-07  1.00819192e-06  9.95208696e-07  1.12708861e-06  1.34155287e-07  6.96033805e-01  7.27560312e-01 
 1.33000000e-07  1.33000000e-07  1.32823752e-07  1.00819191e-06  9.95216537e-07  1.12803935e-06  1.35111131e-07  6.96033806e-01  7.27560310e-01 
 1.34000000e-07  1.34000000e-07  1.33766585e-07  1.00819193e-06  9.95224358e-07  1.12899000e-06  1.36066894e-07  6.96033804e-01  7.27560313e-01 
 1.35000000e-07  1.35000000e-07  1.34709358e-07  1.00819190e-06  9.95232075e-07  1.12994050e-06  1.37022574e-07  6.96033806e-01  7.27560310e-01 
 1.36000000e-07  1.36000000e-07  1.35652076e-07  1.00819193e-06  9.95239784e-07  1.13089093e-06  1.37978171e-07  6.96033804e-01  7.27560311e-01 
 1.37000000e-07  1.37000000e-07  1.36594744e-07  1.00819192e-06  9.95247406e-07  1.13184121e-06  1.38933696e-07  6.96033805e-01  7.27560313e-01 
 1.38000000e-07  1.38000000e-07  1.37537340e-07  1.00819191e-06  9.95254981e-07  1.13279138e-06  1.39889122e-07  6.96033805e-01  7.27560310e-01 
 1.39000000e-07  1.39000000e-07  1.38479882e-07  1.00819191e-06  9.95262504e-07  1.13374144e-06  1.40844473e-07  6.96033805e-01  7.27560309e-01 
 1.40000000e-07  1.40000000e-07  1.39422356e-07  1.00819193e-06  9.95269991e-07  1.13469141e-06  1.41799734e-07  6.96033804e-01  7.27560312e-01 
 1.41000000e-07  1.41000000e-07  1.40364767e-07  1.00819190e-06  9.95277384e-07  1.13564122e-06  1.42754907e-07  6.96033806e-01  7.27560310e-01 
 1.42000000e-07  1.42000000e-07  1.41307128e-07  1.00819193e-06  9.95284777e-07  1.13659096e-06  1.43710009e-07  6.96033804e-01  7.27560311e-01 
 1.43000000e-07  1.43000000e-07  1.42249410e-07  1.00819191e-06  9.95292071e-07  1.13754054e-06  1.44665005e-07  6.96033806e-01  7.27560310e-01 
 1.44000000e-07  1.44000000e-07  1.43191627e-07  1.00819190e-06  9.95299340e-07  1.13849003e-06  1.45619912e-07  6.96033806e-01  7.27560310e-01 
 1.45000000e-07  1.45000000e-07  1.44133775e-07  1.00819191e-06  9.95306564e-07  1.13943940e-06  1.46574733e-07  6.96033806e-01  7.27560311e-01 
 1.46000000e-07  1.46000000e-07  1.45075855e-07  1.00819192e-06  9.95313737e-07  1.14038866e-06  1.47529461e-07  6.96033805e-01  7.27560309e-01 
 1.47000000e-07  1.47000000e-07  1.46017866e-07  1.00819192e-06  9.95320862e-07  1.14133780e-06  1.48484095e-07  6.96033805e-01  7.27560313e-01 
 1.48000000e-07  1.48000000e-07  1.46959819e-07  1.00819191e-06  9.95327930e-07  1.14228681e-06  1.49438652e-07  6.96033805e-01  7.27560311e-01 
 1.49000000e-07  1.49000000e-07  1.47901684e-07  1.00819192e-06  9.95334968e-07  1.14323572e-06  1.50393099e-07  6.96033805e-01  7.27560312e-01 
 1.50000000e-07  1.50000000e-07  1.48843483e-07  1.00819193e-06  9.95341956e-07  1.14418451e-06  1.51347458e-07  6.96033804e-01  7.27560311e-01 
 1.51000000e-07  1.51000000e-07  1.49785214e-07  1.00819191e-06  9.95348879e-07  1.14513316e-06  1.52301722e-07  6.96033805e-01  7.27560311e-01 
 1.52000000e-07  1.52000000e-07  1.50726866e-07  1.00819191e-06  9.95355771e-07  1.14608171e-06  1.53255891e-07  6.96033805e-01  7.27560310e-01 
 1.53000000e-07  1.53000000e-07  1.51668454e-07  1.00819190e-06  9.95362612e-07  1.14703013e-06  1.54209971e-07  6.96033806e-01  7.27560309e-01 
 1.54000000e-07  1.54000000e-07  1.52609953e-07  1.00819193e-06  9.95369440e-07  1.14797846e-06  1.55163945e-07  6.96033804e-01  7.27560310e-01 
 1.55000000e-07  1.55000000e-07  1.53551390e-07  1.00819192e-06  9.95376192e-07  1.14892665e-06  1.56117831e-07  6.96033804e-01  7.27560313e-01 
 1.56000000e-07  1.56000000e-07  1.54492746e-07  1.00819191e-06  9.95382894e-07  1.14987470e-06  1.57071615e-07  6.96033806e-01  7.27560309e-01 
 1.57000000e-07  1.57000000e-07  1.55434012e-07  1.00819191e-06  9.95389575e-07  1.15082266e-06  1.58025294e-07  6.96033805e-01  7.27560312e-01 
 1.58000000e-07  1.58000000e-07  1.56375213e-07  1.00819190e-06  9.95396201e-07  1.15177048e-06  1.58978883e-07  6.96033806e-01  7.27560311e-01 
 1.59000000e-07  1.59000000e-07  1.57316327e-07  1.00819193e-06  9.95402823e-07  1.15271822e-06  1.59932364e-07  6.96033804e-01  7.27560310e-01 
 1.60000000e-07  1.60000000e-07  1.58257365e-07  1.00819192e-06  9.95409364e-07  1.15366580e-06  1.60885748e-07  6.96033805e-01  7.27560312e-01 
 1.61000000e-07  1.61000000e-07  1.59198333e-07  1.00819192e-06  9.95415878e-07  1.15461327e-06  1.61839045e-07  6.96033805e-01  7.27560310e-01 
