 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 5.66000000e-01  9.82255829e-12  9.78805155e-12  6.53823810e-02  5.35372629e-01  4.06031856e-10  2.36624054e-11  3.50765944e-12  6.53310784e-02  6.52607518e-02  2.88711277e-11  2.88338242e-11 
 5.67000000e-01  1.01552275e-11  1.01256775e-11  6.64486060e-02  5.36636433e-01  4.06848745e-10  2.43800535e-11  3.51113756e-12  6.63956385e-02  6.63228960e-02  2.90754087e-11  2.90949487e-11 
 5.68000000e-01  1.04979883e-11  1.04601282e-11  6.74804937e-02  5.37892406e-01  4.07666160e-10  2.51167975e-11  3.52014598e-12  6.74258602e-02  6.73507717e-02  2.93116642e-11  2.92459390e-11 
 5.69000000e-01  1.08497127e-11  1.08060174e-11  6.85305760e-02  5.39117465e-01  4.08484153e-10  2.58801869e-11  3.53754352e-12  6.84741464e-02  6.83965352e-02  2.95106162e-11  2.94910762e-11 
 5.70000000e-01  1.12056791e-11  1.11654347e-11  6.95573182e-02  5.40343952e-01  4.09302667e-10  2.66626721e-11  3.53825649e-12  6.94990835e-02  6.94188733e-02  2.97717406e-11  2.97202263e-11 
 5.71000000e-01  1.15793910e-11  1.15394310e-11  7.06218249e-02  5.41525437e-01  4.10121691e-10  2.74709144e-11  3.57603183e-12  7.05615994e-02  7.04785352e-02  2.99937852e-11  3.00044434e-11 
 5.72000000e-01  1.19691242e-11  1.19199294e-11  7.16892302e-02  5.42752723e-01  4.10941232e-10  2.82995849e-11  3.57731726e-12  7.16270073e-02  7.15410918e-02  3.02815550e-11  3.02602388e-11 
 5.73000000e-01  1.23651288e-11  1.23200795e-11  7.27602456e-02  5.43949795e-01  4.11761315e-10  2.91593416e-11  3.59434184e-12  7.26959025e-02  7.26069500e-02  3.05586667e-11  3.05000469e-11 
 5.74000000e-01  1.27846324e-11  1.27192608e-11  7.38361318e-02  5.45132602e-01  4.12582020e-10  3.00413028e-11  3.61571537e-12  7.37695747e-02  7.36775188e-02  3.08535419e-11  3.08375547e-11 
 5.75000000e-01  1.31943689e-11  1.31526119e-11  7.48992233e-02  5.46323036e-01  4.13403187e-10  3.09463566e-11  3.62316600e-12  7.48304190e-02  7.47350641e-02  3.11537462e-11  3.11057846e-11 
 5.76000000e-01  1.36326875e-11  1.35829159e-11  7.59722909e-02  5.47502927e-01  4.14224887e-10  3.18811644e-11  3.62912998e-12  7.59011230e-02  7.58023959e-02  3.14699378e-11  3.14308579e-11 
 5.77000000e-01  1.40822072e-11  1.40226504e-11  7.70533802e-02  5.48669346e-01  4.15047160e-10  3.28377325e-11  3.64782857e-12  7.69797432e-02  7.68775135e-02  3.17914584e-11  3.17417204e-11 
 5.78000000e-01  1.45528764e-11  1.44811150e-11  7.81323961e-02  5.49844360e-01  4.15869967e-10  3.38307160e-11  3.65023116e-12  7.80562081e-02  7.79503717e-02  3.21325189e-11  3.20472537e-11 
 5.79000000e-01  1.50289611e-11  1.49684373e-11  7.92219762e-02  5.51000931e-01  4.16693305e-10  3.48507889e-11  3.66331618e-12  7.91430965e-02  7.90333208e-02  3.25144356e-11  3.24664740e-11 
 5.80000000e-01  1.55268615e-11  1.54541611e-11  8.03162623e-02  5.52151535e-01  4.17517217e-10  3.58988395e-11  3.67700315e-12  8.02345857e-02  8.01208543e-02  3.28750360e-11  3.28306271e-11 
 5.81000000e-01  1.60381786e-11  1.59621455e-11  8.14255185e-02  5.53294180e-01  4.18341611e-10  3.69788644e-11  3.68963367e-12  8.13408877e-02  8.12229381e-02  3.32978090e-11  3.32249783e-11 
